姓名,性别,年龄,出生地,学历,公司名称,公司总部地,公司总部地_英文,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
斯蒂芬·佩尔森,先生,76,瑞典-斯德哥尔摩省-斯德哥尔摩,本科,H&M,瑞典-斯德哥尔摩,Sweden-Stockholm,服装与配饰,136,-23,950.0,-18%
苏莱曼·克里莫夫,先生,57,,本科,极地黄金,俄罗斯-莫斯科,Russia-Moscow,金属与矿产,136,102,950.0,40%
托马斯·斯特龙曼,先生,未知,,硕士,BioNTech,德国-泰根湖,Germany-Tegernsee,生物制药,136,-4,950.0,-7%
乌代·科塔克,先生,64,印度-马哈拉施特拉邦-孟买, ,科塔克马辛德拉,印度-孟买,India-Mumbai,银行业,136,-16,950.0,-13%
张刚,先生,42,中国-山东-聊城,硕士,信发铝电,中国-聊城,China-Liaocheng,电解铝、氧化铝,136,77,950.0,27%
阿列克谢·莫尔达索夫,先生,58,俄罗斯-沃洛格达-查列波韦茨, ,谢韦尔钢铁,俄罗斯-莫斯科,Russia-Moscow,金属与矿产,153,15,850.0,0%
阿尔瓦利德·本·塔拉勒·阿苏德,先生,68,沙特阿拉伯-汉日省-吉达, ,金达控股,沙特阿拉伯-利雅得,Saudi Arabia-Riyadh,投资,153,-21,850.0,-13%
查尔斯·巴特,先生,85,,硕士,HEB Store,美国-圣安东尼奥,USA-San Antonio,多品牌零售,153,226,850.0,67%
查尔斯·施瓦布,先生,86,,硕士,Charles Schwab,美国-旧金山,USA-San Francisco,金融经纪,153,-4,850.0,-7%
"Chase Coleman, III",先生,47,,,Tiger Global Management,美国-纽约,USA-New York,资产管理,153,85,850.0,30%
埃马纽埃尔·贝妮尔,先生,53,法国-拉瓦尔-拉瓦尔, ,Lactalis,法国-拉瓦勒,France-Laval,乳制品,153,15,850.0,0%
吴清亮,先生,51,中国-广东, ,立邦漆,新加坡-新加坡,Singapore-Singapore,建筑材料,153,41,850.0,8%
休·格罗夫纳,先生,32,英国-伦敦,本科,格罗夫纳,英国-伦敦,UK-London,房地产,153,-33,850.0,-19%
詹姆斯·拉特克利夫,先生,71,,本科,英力士,英国-曼彻斯特,UK-Manchester,化工,153,60,850.0,18%
简·库姆,先生,47,乌克兰-基辅-基辅,本科,脸书,美国-山景城,USA-Mountain View,媒体,153,-4,850.0,-7%
约翰·弗雷德里克森,先生,79,, ,Frontline,英国-伦敦,UK-London,海运,153,41,850.0,8%
雷军,先生,54,中国-湖北-仙桃,本科,小米,中国-北京,China-Beijing,消费电子产品,153,-5,850.0,-10%
林立,先生,60,中国-广东-河源,硕士,立业,中国-深圳,China-Shenzhen,投资,153,15,850.0,0%
Michael Platt ,先生,54,,,BlueCrest Capital Management,瑞士-日内瓦,Switzerland-Geneva,资产管理,153,41,850.0,8%
斯坦利·克伦克,先生,76,,硕士,Kroenke,美国-哥伦比亚,USA-Columbia,体育运动,153,60,850.0,18%
张士平,先生,未知,中国-山东-滨州, ,魏桥创业,中国-滨州,China-Binzhou,铝业、纺织,153,15,850.0,0%
陈东升,先生,66,中国-湖北-荆门,博士,泰康,中国-北京,China-Beijing,保险,169,-37,800.0,-20%
Cliff Obrecht,先生,未知,,,Canva,澳大利亚-悉尼,Australia-Sydney,软件,169,25,800.0,0%
戴维·切里顿,先生,72,加拿大-温哥华,博士,Arista Networks,美国-帕罗奥图,USA-Palo Alto,网络解决方案,169,25,800.0,0%
