姓名,性别,年龄,财富值_人民币/亿元,排名变化,企业信息,所在行业
张静章家族,先生,86,180,129,海天国际,注塑机
张立国,先生,59,180,493,敷尔佳,护肤品
曹龙祥、曹飞父子,先生,66,175,74,济川控股,医药
常建鸣、傅磊夫妇,先生,58,175,350,鸣志电器,控制电机
池宇峰,先生,52,175,15,完美世界,网游、影视娱乐
仇建平、王玲玲夫妇,先生,61,175,74,巨星科技,工具制造
顾江生家族,先生,50,175,-4,顾家家居,家具
蒋业华,先生,60,175,23,华宇,房地产
戚金兴、戚加奇父子,先生,61,175,-17,滨江,房地产
王建沂,先生,60,175,58,富通,光纤光缆
王旭宁,先生,54,175,144,JS环球生活,小家电
吴凯,先生,55,175,23,宁德时代,锂电池
杨致远,先生,55,175,86,雅虎,投资
郭金树,先生,72,170,74,汇能,煤炭、路桥、房地产
黄茂如、张静夫妇,先生,58,170,-6,茂业,房地产
姜银台家族,先生,73,170,338,岱美股份,汽车内饰
李斌,先生,49,170,-38,蔚来、易车,电动车
李洪信,先生,70,170,11,太阳纸业,造纸
罗秋平、潘东夫妇,先生,60,170,-103,蓝月亮,日化用品
穆荣均,先生,43,170,-74,美团,生活服务
齐向东,先生,58,170,31,奇安信,网络安全
邢李?,先生,74,170,11,思捷环球,投资
阳萌、贺丽夫妇,先生,41,170,189,安克,电子商务
杨卫东、杨亚珍夫妇,先生,55,170,74,卫星石化,化工
虞锋家族,先生,60,170,-29,云锋基金,投资
张双旺、张东海父子,先生,80,170,213,伊泰,煤炭
赵立新家族,先生,57,170,-6,格科微,CMOS图像传感器
赵藤雄家族,先生,79,170,11,远雄,房地产
蔡东青家族,先生,54,165,78,奥飞娱乐,动漫
陈志平,先生,47,165,-118,思摩尔,电子烟
崔鹏、曹菲夫妇,先生,46,165,New ~,菲鹏生物,生物科技
葛卫东,先生,54,165,-14,混沌投资,投资
胡柏藩,先生,61,165,-91,新和成,医药
林秀成、林志强父子,先生,68,165,-109,三安,LED
彭蕾,先生,52,165,-33,阿里系,电子商务、金融科技
邵钦祥家族,先生,69,165,-6,花园,工业制造、房地产
汪建国、汪浩父子,先生,63,165,-23,五星投资,电子商务、儿童用品连锁
王华君、吴兰兰夫妇,先生,53,165,-46,裕同包装,包装
王均金,先生,55,165,-14,均瑶,房地产、航空、零售
王一鸣家族,先生,42,165,-237,锦浪科技,光伏逆变器
翁先定,先生,62,165,321,新产业,医疗器械
徐乘家族,先生,71,165,14,徐福记,食品
张万镇,先生,74,165,89,三环,通信部件、电子元器件
竺兆江,先生,50,165,401,传音,消费电子产品
侯军呈,先生,59,160,-2,珀莱雅,化妆品
李锂、李坦夫妇,先生,59,160,-71,海普瑞,医药
梁绍鸿,先生,71,160,-22,大鸿辉,房地产
沈锡强家族,先生,75,160,-2,雅克科技,化工新材料
王宁家族,先生,36,160,206,泡泡玛特,玩具
王水福、陈桂花夫妇,先生,68,160,-62,西子联合控股,电梯、锅炉、房地产
伍步高家族,先生,79,160,13,永隆,银
严陈莉莲家族,女士,58,160,305,裕隆,汽车
张帆,先生,58,160,62,汇顶科技,半导体芯片
张雷,先生,47,160,-220,远景能源,风电
何猷龙家族,先生,47,155,87,新濠国际,博彩
李仙德,先生,48,155,1,晶科能源,太阳能
罗家宝,先生,74,155,1,百乐,房地产
马秀慧家族,先生,52,155,144,欧普照明,节能灯
邱光和家族,先生,72,155,87,森马,服装
