排名1,财富值_人民币/亿元,排名变化,个人信息3,性别,年龄,公司名称,所在行业
268,200,68,黄光苗,先生,54,中洲,房地产
268,200,246,王树华家族,先生,未知,冀南钢铁,钢铁
268,200,51,王希成家族,先生,75,玲珑轮胎,轮胎
268,200,11,吴少勋,先生,67,劲牌,保健酒
268,200,-96,许家印,先生,65,恒大,房地产、投资
274,195,45,郭恩元家族,先生,75,普阳钢铁,钢铁、煤化工
274,195,-95,李小冬,先生,45,冬海集团,网络游戏、电商
274,195,97,张忠谋,先生,92,台积电,半导体
280,190,119,蔡明介家族,先生,73,联发科技,半导体
280,190,-56,冯海良,先生,63,海亮,铜加工、投资
280,190,-29,李赶坡,先生,74,敬业,钢铁
280,190,-35,李力,先生,58,爱尔眼科,医疗服务
280,190,76,林敏雄,女士,73,元利,房地产
280,190,56,阎志,先生,51,卓尔,房地产、投资
280,190,29,赵丰刚,先生,57,宁德时代,锂电池
280,190,697,周延,先生,58,艾美疫苗,疫苗
290,185,-39,蔡东晨,先生,70,石药,医药
290,185,-55,曾小山家族,先生,78,曾氏企业,铝业
290,185,497,陈天石,先生,38,寒武纪,人工智能芯片
290,185,-29,解直锟家族,先生,62,中植,投资
290,185,46,梁允超家族,先生,54,汤臣倍健,保健品
290,185,46,林刚,先生,59,康哲药业,医药
290,185,66,罗才仁家族,先生,70,正新橡胶,轮胎制造
290,185,29,谢伟通,先生,66,华友钴业,有色金属
302,180,34,陈凯臣家族,先生,未知,立白,日化用品
302,180,34,陈泰铭家族,先生,67,国巨,电子制造、收藏
302,180,-197,李晓明家族,先生,65,恩捷股份,包装盒生产
302,180,34,廖汤慧霭,女士,75,纪惠,房地产
302,180,97,马维建家族,先生,未知,元大,金融服务
302,180,26,南存辉,先生,60,正泰,工业电器、投资
302,180,675,袁江涛,先生,未知,嘉立创,半导体
302,180,129,张静章家族,先生,86,海天国际,注塑机
302,180,493,张立国,先生,59,敷尔佳,护肤品
313,175,15,池宇峰,先生,52,完美世界,网游、影视娱乐
313,175,-4,顾江生家族,先生,50,顾家家居,家具
313,175,74,郭建军,先生,未知,汇能,煤炭、路桥、房地产
